fips,surge_proxy_class,coastal_flood_pop_share
05071,none,0
05073,none,0
05075,none,0
05077,none,0
05079,none,0
05081,none,0
05083,none,0
05085,none,0
05087,none,0
05089,none,0
05091,none,0
05093,none,0
05095,none,0
05097,none,0
05099,none,0
05101,none,0
05103,none,0
05105,none,0
05107,none,0
05109,none,0
05111,none,0
05113,none,0
05115,none,0
05117,none,0
05119,none,0
05121,none,0
05123,none,0
05125,none,0
05127,none,0
05129,none,0
05131,none,0
05133,none,0
05135,none,0
05137,none,0
05139,none,0
05141,none,0
05143,none,0
05145,none,0
05147,none,0
05149,none,0
06001,none,0.0996
06003,none,0
06005,none,0
06007,none,0
06009,none,0
06011,none,0
06013,none,0.0638
06015,none,0.0428
06017,none,0
06019,none,0
06021,none,0
06023,none,0.056
06025,none,0
06027,none,0
06029,none,0
06031,none,0
06033,none,0
06035,none,0
06037,none,0.137
06039,none,0
06041,none,0.268
06043,none,0
06045,none,0.0825
06047,none,0
06049,none,0
06051,none,0
06053,none,0.503
06055,none,0.104
06057,none,0
06059,none,0.442
06061,none,0
06063,none,0
06065,none,0
06067,none,0.000948
06069,none,0
06071,none,0
06073,none,0.0554
06075,none,0.0108
06077,none,0
06079,none,0.16
06081,none,0.23
06083,none,0.13
06085,none,0.43
06087,none,0.104
06089,none,0
06091,none,0
06093,none,0
06095,none,0.176
06097,none,0.0508
06099,none,0
06101,none,0
06103,none,0
06105,none,0
06107,none,0
06109,none,0
06111,none,0.243
06113,none,0
06115,none,0
08001,none,0
08003,none,0
08005,none,0
08007,none,0
08009,none,0
08011,none,0
08013,none,0
08014,none,0
08015,none,0
08017,none,0
08019,none,0
08021,none,0
08023,none,0
08025,none,0
08027,none,0
08029,none,0
08031,none,0
08033,none,0
08035,none,0
08037,none,0
08039,none,0
08041,none,0
08043,none,0
08045,none,0
08047,none,0
08049,none,0
08051,none,0
08053,none,0
08055,none,0
08057,none,0
08059,none,0
08061,none,0
08063,none,0
08065,none,0
08067,none,0
08069,none,0
08071,none,0
08073,none,0
08075,none,0
08077,none,0
08079,none,0
08081,none,0
08083,none,0
08085,none,0
08087,none,0
08089,none,0
08091,none,0
08093,none,0
08095,none,0
08097,none,0
08099,none,0
08101,none,0
08103,none,0
08105,none,0
08107,none,0
08109,none,0
08111,none,0
08113,none,0
08115,none,0
08117,none,0
08119,none,0
08121,none,0
08123,none,0
08125,none,0
09110,low,0.00136
09120,moderate,0.101
09130,moderate,0.0813
09140,low,0.018
09150,low,0.000374
09160,none,0
09170,moderate,0.0621
09180,moderate,0.0679
09190,moderate,0.0693
10001,moderate,0.0264
10003,moderate,0.0241
10005,moderate,0.0862
11001,low,0.0243
12001,moderate,0.000857
12003,moderate,0.0151
12005,high,0.24
12007,moderate,0.00394
12009,high,0.158
12011,high,0.863
12013,moderate,0.0459
12015,high,0.694
12017,high,0.197
12019,moderate,0.0744
12021,high,0.758
12023,none,0
12027,moderate,0.0119
12029,high,0.357
12031,moderate,0.0871
12033,moderate,0.0673
12035,moderate,0.099
12037,high,0.544
12039,none,0
12041,moderate,0.023
12043,moderate,0
12045,high,0.448
12047,none,0
12049,none,0
12051,moderate,0.0969
12053,moderate,0.0756
12055,none,0
12057,high,0.196
12059,moderate,0.065
12061,high,0.231
12063,none,0
12065,moderate,0.0542
12067,moderate,0.0505
12069,moderate,0.0026
12071,high,0.544
12073,moderate,0.0022
12075,high,0.109
12077,moderate,0.0425
12079,none,0
12081,high,0.229
12083,moderate,0.011
12085,high,0.17
12086,high,0.52
12087,high,0.945
12089,moderate,0.156
12091,high,0.112
12093,high,0.149
12095,moderate,0.0000247
12097,none,0
12099,high,0.161
12101,high,0.242
12103,high,0.35
12105,none,0
12107,moderate,0.0914
12109,high,0.205
12111,moderate,0.0668
12113,high,0.115
12115,high,0.312
12117,moderate,0.00769
12119,none,0
12121,none,0
12123,high,0.303
12125,none,0
12127,high,0.168
12129,high,0.206
12131,high,0.184
12133,moderate,0.00937
13001,none,0
13003,none,0
13005,none,0
13007,none,0
13009,none,0
13011,none,0
13013,none,0
13015,none,0
13017,none,0
13019,none,0
13021,none,0
13023,none,0
13025,moderate,0.0418
13027,none,0
13029,high,0.359
13031,none,0
13033,none,0
13035,none,0
13037,none,0
13039,moderate,0.176
13043,none,0
13045,none,0
13047,none,0
13049,moderate,0.0144
13051,high,0.277
13053,none,0
13055,none,0
13057,none,0
13059,none,0
13061,none,0
13063,none,0
13065,none,0
13067,none,0
13069,none,0
13071,none,0
13073,none,0
13075,none,0
13077,none,0
13079,none,0
13081,none,0
13083,none,0
13085,none,0
13087,none,0
13089,none,0
13091,none,0
13093,none,0
13095,none,0
13097,none,0
13099,none,0
13101,none,0
13103,moderate,0.0146
13105,none,0
13107,none,0
13109,none,0
13111,none,0
13113,none,0
13115,none,0
13117,none,0
13119,none,0
13121,none,0
13123,none,0
13125,none,0
13127,moderate,0.442
13129,none,0
13131,none,0
13133,none,0
13135,none,0
13137,none,0
13139,none,0
13141,none,0
13143,none,0
13145,none,0
13147,none,0
13149,none,0
13151,none,0
13153,none,0
13155,none,0
13157,none,0
13159,none,0
13161,none,0
13163,none,0
13165,none,0
13167,none,0
13169,none,0
13171,none,0
13173,none,0
13175,none,0
13177,none,0
13179,moderate,0.404
13181,none,0
13183,moderate,0.163
13185,none,0
13187,none,0
13189,none,0
13191,moderate,0.169
13193,none,0
13195,none,0
13197,none,0
13199,none,0
13201,none,0
13205,none,0
13207,none,0
13209,none,0
13211,none,0
13213,none,0
13215,none,0
13217,none,0
13219,none,0
13221,none,0
13223,none,0
13225,none,0
13227,none,0
13229,none,0
13231,none,0
13233,none,0
13235,none,0
13237,none,0
13239,none,0
13241,none,0
13243,none,0
13245,none,0
13247,none,0
13249,none,0
13251,moderate,0.0147
13253,none,0
13255,none,0
13257,none,0
13259,none,0
13261,none,0
13263,none,0
13265,none,0
13267,none,0
13269,none,0
13271,none,0
13273,none,0
13275,none,0
13277,none,0
13279,none,0
13281,none,0
13283,none,0
13285,none,0
13287,none,0
13289,none,0
13291,none,0
13293,none,0
13295,none,0
13297,none,0
13299,none,0
13301,none,0
13303,none,0
13305,low,0.0179
13307,none,0
13309,none,0
13311,none,0
13313,none,0
13315,none,0
13317,none,0
13319,none,0
13321,none,0
15001,low,0.0297
15003,low,0.105
15005,low,0.475
15007,high,0.133
15009,low,0.069
16001,none,0
16003,none,0
16005,none,0
16007,none,0
16009,none,0
16011,none,0
16013,none,0
16015,none,0
16017,none,0
16019,none,0
16021,none,0
16023,none,0
16025,none,0
16027,none,0
16029,none,0
16031,none,0
16033,none,0
16035,none,0
16037,none,0
16039,none,0
16041,none,0
16043,none,0
16045,none,0
16047,none,0
16049,none,0
16051,none,0
16053,none,0
16055,none,0
16057,none,0
16059,none,0
16061,none,0
16063,none,0
16065,none,0
16067,none,0
16069,none,0
16071,none,0
16073,none,0
16075,none,0
16077,none,0
16079,none,0
16081,none,0
16083,none,0
16085,none,0
16087,none,0
17001,none,0
17003,none,0
17005,none,0
17007,none,0
17009,none,0
17011,none,0
17013,none,0
17015,none,0
17017,none,0
17019,none,0
17021,none,0
17023,none,0
17025,none,0
17027,none,0
17029,none,0
17031,none,0.0268
17033,none,0
17035,none,0
17037,none,0
17039,none,0
17041,none,0
17043,none,0
17045,none,0
17047,none,0
17049,none,0
17051,none,0
17053,none,0
17055,none,0
17057,none,0
17059,none,0
17061,none,0
17063,none,0
17065,none,0
17067,none,0
17069,none,0
17071,none,0
17073,none,0
17075,none,0
17077,none,0
17079,none,0
17081,none,0
17083,none,0
17085,none,0
17087,none,0
17089,none,0
17091,none,0
17093,none,0
17095,none,0
17097,none,0.038
17099,none,0
17101,none,0
17103,none,0
17105,none,0
17107,none,0
17109,none,0
17111,none,0
17113,none,0
17115,none,0
17117,none,0
17119,none,0
17121,none,0
17123,none,0
17125,none,0
17127,none,0
17129,none,0
17131,none,0
17133,none,0
17135,none,0
17137,none,0
17139,none,0
17141,none,0
17143,none,0
17145,none,0
17147,none,0
17149,none,0
17151,none,0
17153,none,0
17155,none,0
17157,none,0
17159,none,0
17161,none,0
17163,none,0
17165,none,0
17167,none,0
17169,none,0
17171,none,0
17173,none,0
17175,none,0
17177,none,0
17179,none,0
17181,none,0
17183,none,0
17185,none,0
17187,none,0
17189,none,0
17191,none,0
17193,none,0
17195,none,0
17197,none,0
17199,none,0
17201,none,0
17203,none,0
18001,none,0
18003,none,0
18005,none,0
18007,none,0
18009,none,0
18011,none,0
18013,none,0
18015,none,0
18017,none,0
18019,none,0
18021,none,0
18023,none,0
18025,none,0
18027,none,0
18029,none,0
18031,none,0
18033,none,0
18035,none,0
18037,none,0
18039,none,0
18041,none,0
18043,none,0
18045,none,0
18047,none,0
18049,none,0
18051,none,0
18053,none,0
18055,none,0
18057,none,0
18059,none,0
18061,none,0
18063,none,0
18065,none,0
18067,none,0
18069,none,0
18071,none,0
18073,none,0
18075,none,0
18077,none,0
18079,none,0
18081,none,0
18083,none,0
18085,none,0
18087,none,0
18089,none,0.0617
18091,none,0.00931
18093,none,0
18095,none,0
18097,none,0
18099,none,0
18101,none,0
18103,none,0
18105,none,0
18107,none,0
18109,none,0
18111,none,0
18113,none,0
18115,none,0
18117,none,0
18119,none,0
18121,none,0
18123,none,0
18125,none,0
18127,none,0.0165
18129,none,0
18131,none,0
18133,none,0
18135,none,0
18137,none,0
18139,none,0
18141,none,0
18143,none,0
18145,none,0
18147,none,0
18149,none,0
18151,none,0
18153,none,0
18155,none,0
18157,none,0
18159,none,0
18161,none,0
18163,none,0
18165,none,0
18167,none,0
18169,none,0
18171,none,0
18173,none,0
18175,none,0
18177,none,0
18179,none,0
18181,none,0
18183,none,0
19001,none,0
19003,none,0
19005,none,0
19007,none,0
19009,none,0
19011,none,0
19013,none,0
19015,none,0
19017,none,0
19019,none,0
19021,none,0
19023,none,0
19025,none,0
19027,none,0
19029,none,0
19031,none,0
19033,none,0
19035,none,0
19037,none,0
19039,none,0
19041,none,0
19043,none,0
19045,none,0
19047,none,0
19049,none,0
19051,none,0
19053,none,0
19055,none,0
19057,none,0
19059,none,0
19061,none,0
19063,none,0
19065,none,0
19067,none,0
19069,none,0
19071,none,0
19073,none,0
19075,none,0
19077,none,0
19079,none,0
19081,none,0
19083,none,0
19085,none,0
19087,none,0
19089,none,0
19091,none,0
19093,none,0
19095,none,0
19097,none,0
19099,none,0
19101,none,0
19103,none,0
19105,none,0
19107,none,0
19109,none,0
19111,none,0
19113,none,0
19115,none,0
19117,none,0
19119,none,0
19121,none,0
19123,none,0
19125,none,0
19127,none,0
19129,none,0
19131,none,0
19133,none,0
19135,none,0
19137,none,0
19139,none,0
19141,none,0
19143,none,0
19145,none,0
19147,none,0
19149,none,0
19151,none,0
19153,none,0
19155,none,0
19157,none,0
19159,none,0
19161,none,0
19163,none,0
19165,none,0
19167,none,0
19169,none,0
19171,none,0
19173,none,0
19175,none,0
19177,none,0
19179,none,0
19181,none,0
19183,none,0
19185,none,0
19187,none,0
19189,none,0
19191,none,0
19193,none,0
19195,none,0
19197,none,0
20001,none,0
20003,none,0
20005,none,0
20007,none,0
20009,none,0
20011,none,0
20013,none,0
20015,none,0
20017,none,0
20019,none,0
20021,none,0
20023,none,0
20025,none,0
20027,none,0
20029,none,0
20031,none,0
20033,none,0
20035,none,0
20037,none,0
20039,none,0
20041,none,0
20043,none,0
20045,none,0
20047,none,0
20049,none,0
20051,none,0
20053,none,0
20055,none,0
20057,none,0
20059,none,0
20061,none,0
20063,none,0
20065,none,0
20067,none,0
20069,none,0
20071,none,0
20073,none,0
20075,none,0
20077,none,0
20079,none,0
20081,none,0
20083,none,0
20085,none,0
20087,none,0
20089,none,0
20091,none,0
20093,none,0
20095,none,0
20097,none,0
20099,none,0
20101,none,0
20103,none,0
20105,none,0
20107,none,0
20109,none,0
20111,none,0
20113,none,0
20115,none,0
20117,none,0
20119,none,0
20121,none,0
20123,none,0
20125,none,0
20127,none,0
20129,none,0
20131,none,0
20133,none,0
20135,none,0
20137,none,0
20139,none,0
20141,none,0
20143,none,0
20145,none,0
20147,none,0
20149,none,0
20151,none,0
20153,none,0
20155,none,0
20157,none,0
20159,none,0
20161,none,0
20163,none,0
20165,none,0
20167,none,0
20169,none,0
20171,none,0
20173,none,0
20175,none,0
20177,none,0
20179,none,0
20181,none,0
20183,none,0
20185,none,0
20187,none,0
20189,none,0
20191,none,0
20193,none,0
20195,none,0
20197,none,0
20199,none,0
20201,none,0
20203,none,0
20205,none,0
20207,none,0
20209,none,0
21001,none,0
21003,none,0
21005,none,0
21007,none,0
21009,none,0
21011,none,0
21013,none,0
21015,none,0
21017,none,0
21019,none,0
21021,none,0
21023,none,0
21025,none,0
21027,none,0
21029,none,0
21031,none,0
21033,none,0
21035,none,0
21037,none,0
21039,none,0
21041,none,0
21043,none,0
21045,none,0
21047,none,0
21049,none,0
21051,none,0
21053,none,0
21055,none,0
21057,none,0
21059,none,0
21061,none,0
21063,none,0
21065,none,0
21067,none,0
21069,none,0
21071,none,0
21073,none,0
21075,none,0
21077,none,0
21079,none,0
21081,none,0
21083,none,0
21085,none,0
21087,none,0
21089,none,0
21091,none,0
21093,none,0
21095,none,0
21097,none,0
21099,none,0
21101,none,0
21103,none,0
21105,none,0
21107,none,0
21109,none,0
21111,none,0
21113,none,0
21115,none,0
21117,none,0
21119,none,0
21121,none,0
21123,none,0
21125,none,0
21127,none,0
21129,none,0
21131,none,0
21133,none,0
21135,none,0
21137,none,0
21139,none,0
21141,none,0
21143,none,0
21145,none,0
21147,none,0
21149,none,0
21151,none,0
21153,none,0
21155,none,0
21157,none,0
21159,none,0
21161,none,0
21163,none,0
21165,none,0
21167,none,0
21169,none,0
21171,none,0
21173,none,0
21175,none,0
21177,none,0
21179,none,0
21181,none,0
21183,none,0
21185,none,0
21187,none,0
21189,none,0
21191,none,0
21193,none,0
21195,none,0
21197,none,0
21199,none,0
21201,none,0
21203,none,0
21205,none,0
21207,none,0
21209,none,0
21211,none,0
21213,none,0
21215,none,0
21217,none,0
21219,none,0
21221,none,0
21223,none,0
21225,none,0
21227,none,0
21229,none,0
21231,none,0
21233,none,0
21235,none,0
21237,none,0
21239,none,0
22001,moderate,0.0742
22003,moderate,0.0928
22005,high,1
22007,high,0.92
22009,none,0
22011,moderate,0.0112
22013,none,0
22015,none,0
22017,none,0
22019,high,0.355
22021,none,0
22023,high,0.956
22025,none,0
22027,none,0
22029,none,0
22031,none,0
22033,moderate,0.0507
22035,none,0
22037,none,0
22039,moderate,0.0557
22041,none,0
22043,none,0
22045,high,0.27
22047,high,0.854
22049,none,0
22051,high,0.999
22053,high,0.236
22055,moderate,0.0407
22057,moderate,0.011
22059,none,0
22061,none,0
22063,high,0.519
22065,none,0
22067,none,0
22069,none,0
22071,high,0.999
22073,none,0
22075,high,0.999
22077,none,0
22079,none,0
22081,none,0
22083,none,0
22085,none,0
22087,high,0.999
22089,high,0.252
22091,none,0
22093,high,1
22095,high,1
22097,high,0.133
22099,high,1
22101,high,0.881
22103,moderate,0.0476
22105,high,0.246
22107,none,0
22109,high,0.746
22111,none,0
22113,high,0.657
22115,none,0
22117,none,0
22119,none,0
22121,moderate,0.000000902
22123,none,0
22125,none,0
22127,none,0
23001,low,0.00101
23003,none,0
23005,low,0.0172
23007,none,0
23009,low,0.0179
23011,low,0.00166
23013,moderate,0.0269
23015,moderate,0.0201
23017,none,0
23019,low,0.0015
23021,none,0
23023,low,0.0195
23025,none,0
23027,low,0.0144
23029,moderate,0.0237
23031,moderate,0.0301
24001,none,0
24003,low,0.016
24005,low,0.0185
24009,low,0.0156
24011,moderate,0.0328
24013,none,0
24015,moderate,0.031
24017,low,0.00844
24019,moderate,0.116
24021,none,0
24023,none,0
24025,low,0.016
24027,low,0.0104
24029,moderate,0.0507
24031,low,0.0000659
24033,moderate,0.0271
24035,moderate,0.0712
24037,moderate,0.0241
24039,moderate,0.359
24041,moderate,0.0527
24043,none,0
24045,moderate,0.0263
24047,high,0.185
24510,low,0.0165
25001,moderate,0.104
25003,none,0
25005,moderate,0.0583
25007,moderate,0.0432
25009,moderate,0.0691
25011,none,0
25013,none,0
25015,none,0
25017,moderate,0.0389
25019,moderate,0.0359
25021,moderate,0.0507
25023,moderate,0.0672
25025,moderate,0.0747
25027,none,0
26001,none,0.035
26003,none,0.000000155
26005,none,0.0145
26007,none,0.0252
26009,none,0
26011,none,0.0472
26013,none,0.0378
26015,none,0
26017,none,0.0631
26019,none,0.00779
26021,none,0.0232
26023,none,0
26025,none,0
26027,none,0
26029,none,0.00595
26031,none,0.0199
26033,none,0.0477
26035,none,0
26037,none,0
26039,none,0
26041,none,0.0168
26043,none,0
26045,none,0
26047,none,0.00455
26049,none,0
26051,none,0
26053,none,0.0000139
26055,none,0.00907
26057,none,0
26059,none,0
26061,none,0
26063,none,0.0642
26065,none,0
26067,none,0
26069,none,0.0568
26071,none,0
26073,none,0
26075,none,0
26077,none,0
26079,none,0
26081,none,0
26083,none,0
26085,none,0
26087,none,0
26089,none,0.0183
26091,none,0
26093,none,0
26095,none,0
26097,none,0.0243
26099,none,0.0311
26101,none,0.00533
26103,none,0.00589
26105,none,0.00971
26107,none,0
26109,none,0.0537
26111,none,0
26113,none,0
26115,none,0.0853
26117,none,0
26119,none,0
26121,none,0.00625
26123,none,0
26125,none,0
26127,none,0.00835
26129,none,0
26131,none,0
26133,none,0
26135,none,0
26137,none,0
26139,none,0.0241
26141,none,0.00000000718
26143,none,0
26145,none,0
26147,low,0.0767
26149,none,0
26151,low,0.00969
26153,none,0
26155,none,0
26157,none,0.0355
26159,none,0.00963
26161,none,0
26163,none,0.0373
26165,none,0
27001,none,0
27003,none,0
27005,none,0
27007,none,0
27009,none,0
27011,none,0
27013,none,0
27015,none,0
27017,none,0
27019,none,0
27021,none,0
27023,none,0
27025,none,0
27027,none,0
27029,none,0
27031,none,0
27033,none,0
27035,none,0
27037,none,0
27039,none,0
27041,none,0
27043,none,0
27045,none,0
27047,none,0
27049,none,0
27051,none,0
27053,none,0
27055,none,0
27057,none,0
27059,none,0
27061,none,0
27063,none,0
27065,none,0
27067,none,0
27069,none,0
27071,none,0
27073,none,0
27075,none,0
27077,none,0
27079,none,0
27081,none,0
27083,none,0
27085,none,0
27087,none,0
27089,none,0
27091,none,0
27093,none,0
27095,none,0
27097,none,0
27099,none,0
27101,none,0
27103,none,0
27105,none,0
27107,none,0
27109,none,0
27111,none,0
27113,none,0
27115,none,0
27117,none,0
27119,none,0
27121,none,0
27123,none,0
27125,none,0
27127,none,0
27129,none,0
27131,none,0
27133,none,0
27135,none,0
27137,none,0.0167
27139,none,0
27141,none,0
27143,none,0
27145,none,0
27147,none,0
27149,none,0
27151,none,0
27153,none,0
27155,none,0
27157,none,0
27159,none,0
27161,none,0
27163,none,0
27165,none,0
27167,none,0
27169,none,0
27171,none,0
27173,none,0
28001,none,0
28003,none,0
28005,none,0
28007,none,0
28009,none,0
28011,none,0
28013,none,0
28015,none,0
28017,none,0
28019,none,0
28021,none,0
28023,none,0
28025,none,0
28027,none,0
28029,none,0
28031,none,0
28033,none,0
28035,none,0
28037,none,0
28039,low,0.00354
28041,none,0
28043,none,0
28045,high,0.524
28047,high,0.274
28049,none,0
28051,none,0
28053,none,0
28055,none,0
28057,none,0
28059,high,0.52
28061,none,0
28063,none,0
28065,none,0
28067,none,0
28069,none,0
28071,none,0
28073,none,0
28075,none,0
28077,none,0
28079,none,0
28081,none,0
28083,none,0
28085,none,0
28087,none,0
28089,none,0
28091,none,0
28093,none,0
28095,none,0
28097,none,0
28099,none,0
28101,none,0
28103,none,0
28105,none,0
28107,none,0
28109,low,0.0199
28111,none,0
28113,none,0
28115,none,0
28117,none,0
28119,none,0
28121,none,0
28123,none,0
28125,none,0
28127,none,0
28129,none,0
28131,none,0
28133,none,0
28135,none,0
28137,none,0
28139,none,0
28141,none,0
28143,none,0
28145,none,0
28147,none,0
28149,none,0
28151,none,0
28153,none,0
28155,none,0
28157,none,0
28159,none,0
28161,none,0
28163,none,0
29001,none,0
29003,none,0
29005,none,0
29007,none,0
29009,none,0
29011,none,0
29013,none,0
29015,none,0
29017,none,0
29019,none,0
29021,none,0
29023,none,0
29025,none,0
29027,none,0
29029,none,0
29031,none,0
29033,none,0
29035,none,0
29037,none,0
29039,none,0
29041,none,0
29043,none,0
29045,none,0
29047,none,0
29049,none,0
29051,none,0
29053,none,0
29055,none,0
29057,none,0
29059,none,0
29061,none,0
29063,none,0
29065,none,0
29067,none,0
29069,none,0
29071,none,0
29073,none,0
29075,none,0
29077,none,0
29079,none,0
29081,none,0
29083,none,0
29085,none,0
29087,none,0
29089,none,0
29091,none,0
29093,none,0
29095,none,0
29097,none,0
29099,none,0
29101,none,0
29103,none,0
29105,none,0
29107,none,0
29109,none,0
29111,none,0
29113,none,0
29115,none,0
29117,none,0
29119,none,0
29121,none,0
29123,none,0
29125,none,0
29127,none,0
29129,none,0
29131,none,0
29133,none,0
29135,none,0
29137,none,0
29139,none,0
29141,none,0
29143,none,0
29145,none,0
29147,none,0
29149,none,0
29151,none,0
29153,none,0
29155,none,0
29157,none,0
29159,none,0
29161,none,0
29163,none,0
29165,none,0
29167,none,0
29169,none,0
29171,none,0
29173,none,0
29175,none,0
29177,none,0
29179,none,0
29181,none,0
29183,none,0
29185,none,0
29186,none,0
29187,none,0
29189,none,0
29195,none,0
29197,none,0
29199,none,0
29201,none,0
29203,none,0
29205,none,0
29207,none,0
29209,none,0
29211,none,0
29213,none,0
29215,none,0
29217,none,0
29219,none,0
29221,none,0
29223,none,0
29225,none,0
29227,none,0
29229,none,0
29510,none,0
30001,none,0
30003,none,0
30005,none,0
30007,none,0
30009,none,0
30011,none,0
30013,none,0
30015,none,0
30017,none,0
30019,none,0
30021,none,0
30023,none,0
30025,none,0
30027,none,0
30029,none,0
30031,none,0
30033,none,0
30035,none,0
30037,none,0
30039,none,0
30041,none,0
30043,none,0
30045,none,0
30047,none,0
30049,none,0
30051,none,0
30053,none,0
30055,none,0
30057,none,0
30059,none,0
30061,none,0
30063,none,0
30065,none,0
30067,none,0
30069,none,0
30071,none,0
30073,none,0
30075,none,0
30077,none,0
30079,none,0
30081,none,0
30083,none,0
30085,none,0
30087,none,0
30089,none,0
30091,none,0
30093,none,0
30095,none,0
30097,none,0
30099,none,0
30101,none,0
30103,none,0
30105,none,0
30107,none,0
30109,none,0
30111,none,0
31001,none,0
31003,none,0
31005,none,0
31007,none,0
31009,none,0
31011,none,0
31013,none,0
31015,none,0
31017,none,0
31019,none,0
31021,none,0
31023,none,0
31025,none,0
31027,none,0
31029,none,0
31031,none,0
31033,none,0
31035,none,0
31037,none,0
31039,none,0
31041,none,0
31043,none,0
31045,none,0
31047,none,0
31049,none,0
31051,none,0
31053,none,0
31055,none,0
31057,none,0
31059,none,0
31061,none,0
31063,none,0
31065,none,0
31067,none,0
31069,none,0
31071,none,0
31073,none,0
31075,none,0
31077,none,0
31079,none,0
31081,none,0
31083,none,0
31085,none,0
31087,none,0
31089,none,0
31091,none,0
31093,none,0
31095,none,0
31097,none,0
31099,none,0
31101,none,0
31103,none,0
31105,none,0
31107,none,0
31109,none,0
31111,none,0
31113,none,0
31115,none,0
31117,none,0
31119,none,0
31121,none,0
31123,none,0
31125,none,0
31127,none,0
31129,none,0
31131,none,0
31133,none,0
31135,none,0
31137,none,0
31139,none,0
31141,none,0
31143,none,0
31145,none,0
31147,none,0
31149,none,0
31151,none,0
31153,none,0
31155,none,0
31157,none,0
31159,none,0
31161,none,0
31163,none,0
31165,none,0
31167,none,0
31169,none,0
31171,none,0
31173,none,0
31175,none,0
31177,none,0
31179,none,0
31181,none,0
31183,none,0
31185,none,0
32001,none,0
32003,none,0
32005,none,0
32007,none,0
32009,none,0
32011,none,0
32013,none,0
32015,none,0
32017,none,0
32019,none,0
32021,none,0
32023,none,0
32027,none,0
32029,none,0
32031,none,0
32033,none,0
32510,none,0
33001,none,0
33003,none,0
33005,none,0
33007,none,0
33009,none,0
33011,none,0
33013,none,0
33015,moderate,0.0437
33017,moderate,0.024
33019,none,0
34001,high,0.167
34003,moderate,0.0796
34005,moderate,0.0687
34007,moderate,0.0553
34009,moderate,0.386
34011,moderate,0.0466
34013,moderate,0.0411
34015,moderate,0.0351
34017,moderate,0.186
34019,none,0
34021,low,0.00227
34023,moderate,0.0426
34025,high,0.106
34027,none,0
34029,high,0.138
34031,low,0.00953
34033,moderate,0.322
34035,moderate,0.0562
34037,none,0
34039,moderate,0.0827
34041,none,0
35001,none,0
35003,none,0
35005,none,0
35006,none,0
35007,none,0
35009,none,0
35011,none,0
35013,none,0
35015,none,0
35017,none,0
35019,none,0
35021,none,0
35023,none,0
35025,none,0
35027,none,0
35028,none,0
35029,none,0
35031,none,0
35033,none,0
35035,none,0
35037,none,0
35039,none,0
35041,none,0
35043,none,0
35045,none,0
35047,none,0
35049,none,0
35051,none,0
35053,none,0
35055,none,0
35057,none,0
35059,none,0
35061,none,0
36001,none,0
36003,none,0
36005,moderate,0.0394
36007,none,0
36009,none,0
36011,none,0.0369
36013,low,0.000538
36015,none,0
36017,none,0
36019,none,0
36021,none,0
36023,none,0
36025,none,0
36027,moderate,0.0479
36029,low,0.0603
36031,none,0
36033,none,0
36035,none,0
36037,none,0
36039,low,0.000793
36041,none,0
36043,none,0
36045,none,0.000442
36047,moderate,0.0669
36049,none,0
36051,none,0
36053,none,0
36055,low,0.019
36057,none,0
36059,moderate,0.115
36061,moderate,0.101
36063,low,0.0672
36065,none,0
36067,none,0
36069,none,0
36071,low,0.0389
36073,low,0
